study_id,rows,cols,spacing_y_mm,spacing_x_mm,n_slices,z_spacing_mm,slice_thickness_tag_mm,spacing_between_slices_mm
1.2.826.0.1.3680043.11015,512,512,0.333984,0.333984,593,0.3125,0.625,
1.2.826.0.1.3680043.1102,512,512,0.351563,0.351563,367,0.45000000000000007,0.625,
1.2.826.0.1.3680043.11020,512,512,0.363281,0.363281,193,0.625,0.625,
1.2.826.0.1.3680043.11026,512,512,0.259,0.259,586,0.4,0.5,
1.2.826.0.1.3680043.1107,512,512,0.31,0.31,287,0.7999999999999998,1.0,
1.2.826.0.1.3680043.11090,512,512,0.289063,0.289063,263,0.625,0.625,
1.2.826.0.1.3680043.11103,512,512,0.333984375,0.333984375,229,1.0,1.0,
1.2.826.0.1.3680043.11116,512,512,0.37109375,0.37109375,586,0.4,0.6,
1.2.826.0.1.3680043.11118,512,512,0.27734375,0.27734375,182,1.0,1.0,
1.2.826.0.1.3680043.11121,512,512,0.415,0.415,488,0.3999999999999999,0.5,
1.2.826.0.1.3680043.11170,512,512,0.312,0.312,451,0.4,0.5,
1.2.826.0.1.3680043.11192,512,512,0.423828125,0.423828125,452,0.39999999999999997,0.6,
1.2.826.0.1.3680043.11202,512,512,0.279297,0.279297,255,0.625,0.625,
1.2.826.0.1.3680043.11227,512,512,0.341797,0.341797,294,0.625,0.625,
1.2.826.0.1.3680043.11245,512,512,0.34765625,0.34765625,479,0.4000000000000001,0.6,
1.2.826.0.1.3680043.11254,512,512,0.314453,0.314453,306,0.625,0.625,
1.2.826.0.1.3680043.11281,512,512,0.306640625,0.306640625,419,0.39999999999999997,0.6,
1.2.826.0.1.3680043.11300,512,512,0.513671875,0.513671875,235,1.0,1.0,
1.2.826.0.1.3680043.11348,512,512,0.273438,0.273438,278,0.625,0.625,
1.2.826.0.1.3680043.11377,512,512,0.404296875,0.404296875,466,0.4,0.6,
1.2.826.0.1.3680043.11384,512,512,0.274,0.274,376,0.4,0.5,
1.2.826.0.1.3680043.11392,512,512,0.292969,0.292969,259,0.625,0.625,
1.2.826.0.1.3680043.11401,512,512,0.447265625,0.447265625,382,0.4499998719160105,0.9,
1.2.826.0.1.3680043.11428,512,512,0.287109375,0.287109375,205,1.0,1.0,
1.2.826.0.1.3680043.11506,512,512,0.289063,0.289063,326,0.625,0.625,
1.2.826.0.1.3680043.1151,512,512,0.474609375,0.474609375,563,0.4,0.6,
1.2.826.0.1.3680043.11515,512,512,0.351563,0.351563,435,0.4499976958525345,0.625,
1.2.826.0.1.3680043.11605,512,512,0.327,0.327,246,0.8,1.0,
1.2.826.0.1.3680043.11606,512,512,0.253906,0.253906,323,0.625,0.625,
1.2.826.0.1.3680043.11610,512,512,0.328125,0.328125,212,1.0,1.0,
1.2.826.0.1.3680043.11617,512,512,0.279296875,0.279296875,216,1.0,1.0,
1.2.826.0.1.3680043.11644,512,512,0.328125,0.328125,533,0.5000000007518797,1.0,
1.2.826.0.1.3680043.11645,512,512,0.296875,0.296875,532,0.4,0.6,
1.2.826.0.1.3680043.11654,512,512,0.351563,0.351563,370,0.45,0.625,
1.2.826.0.1.3680043.11659,512,512,0.294921875,0.294921875,209,1.0,1.0,
1.2.826.0.1.3680043.11664,512,512,0.300781,0.300781,303,0.625,0.625,
1.2.826.0.1.3680043.1168,512,512,0.2734375,0.2734375,211,1.0,1.0,
1.2.826.0.1.3680043.11683,512,512,0.54296875,0.54296875,162,1.0,1.0,
1.2.826.0.1.3680043.11685,512,512,0.34375,0.34375,681,0.31250147058823524,0.625,
1.2.826.0.1.3680043.11691,512,512,0.291016,0.291016,355,0.6250000000000001,0.625,
1.2.826.0.1.3680043.11692,512,512,0.517578005791,0.517578005791,298,0.625,0.625,
1.2.826.0.1.3680043.11709,512,512,0.253906,0.253906,322,0.625,0.625,
1.2.826.0.1.3680043.11718,512,512,0.312,0.312,291,0.8,1.0,
1.2.826.0.1.3680043.11727,512,512,0.306640625,0.306640625,478,0.3999999999999999,0.6,
1.2.826.0.1.3680043.11743,512,512,0.275391,0.275391,237,0.625,0.625,
1.2.826.0.1.3680043.11757,512,512,0.332031,0.332031,275,0.625,0.625,
1.2.826.0.1.3680043.1177,512,512,0.347,0.347,438,0.3999999999999999,0.5,
1.2.826.0.1.3680043.1181,512,512,0.332031,0.332031,319,0.625,0.625,
1.2.826.0.1.3680043.11827,512,512,0.51171875,0.51171875,208,1.0,1.0,
1.2.826.0.1.3680043.11834,512,512,0.24609375,0.24609375,468,0.3999999999999999,0.6,
1.2.826.0.1.3680043.11849,512,512,0.253906,0.253906,307,0.625,0.625,
1.2.826.0.1.3680043.11856,512,512,0.3359375,0.3359375,193,1.0,1.0,
1.2.826.0.1.3680043.1187,512,512,0.351563,0.351563,445,0.45,0.625,
1.2.826.0.1.3680043.11870,512,512,0.253906,0.253906,313,0.625,0.625,
1.2.826.0.1.3680043.11899,512,512,0.368,0.368,273,0.8,1.0,
1.2.826.0.1.3680043.11901,512,512,0.479,0.479,292,0.7999999999999998,1.0,
1.2.826.0.1.3680043.1195,512,512,0.3125,0.3125,492,0.4000000000000002,0.6,
1.2.826.0.1.3680043.11988,512,512,0.291015625,0.291015625,217,1.0,1.0,
1.2.826.0.1.3680043.120,512,512,0.292969,0.292969,322,0.625,0.625,
1.2.826.0.1.3680043.12013,512,512,0.44140625,0.44140625,180,1.0,1.0,
1.2.826.0.1.3680043.12031,512,512,0.357421875,0.357421875,455,0.5000000004405286,1.0,
1.2.826.0.1.3680043.12053,512,512,0.25,0.25,279,0.625,0.625,
1.2.826.0.1.3680043.12095,512,512,0.3984375,0.3984375,422,0.4999999995249406,1.0,
1.2.826.0.1.3680043.12100,512,512,0.423999994993,0.423999994993,263,0.8,1.0,
1.2.826.0.1.3680043.12109,512,512,0.5,0.5,345,0.9000001453488372,1.0,
1.2.826.0.1.3680043.12121,512,512,0.533203005791,0.533203005791,336,0.625,0.625,
1.2.826.0.1.3680043.12125,512,512,0.4394531,0.4394531,378,0.7,1.0,
1.2.826.0.1.3680043.12131,512,512,0.287109,0.287109,609,0.3125016447368421,0.625,
1.2.826.0.1.3680043.12138,512,512,0.541015625,0.541015625,550,0.5,1.0,
1.2.826.0.1.3680043.12140,512,512,0.322265625,0.322265625,216,1.0,1.0,
1.2.826.0.1.3680043.12145,512,512,0.34375,0.34375,351,0.5,1.0,
1.2.826.0.1.3680043.12152,512,512,0.384765625,0.384765625,561,0.4,0.6,
1.2.826.0.1.3680043.12161,512,512,0.240234,0.240234,541,0.3125,0.625,
1.2.826.0.1.3680043.12168,512,512,0.604,0.604,251,0.8,1.0,
1.2.826.0.1.3680043.12182,512,512,0.40039101243,0.40039101243,362,0.625,0.625,
1.2.826.0.1.3680043.12189,512,512,0.326171875,0.326171875,464,0.4000000000000001,0.6,
1.2.826.0.1.3680043.12233,512,512,0.25,0.25,273,0.625,0.625,
1.2.826.0.1.3680043.12253,512,512,0.332031,0.332031,395,0.625,0.625,
1.2.826.0.1.3680043.12259,512,512,0.25,0.25,291,0.625,0.625,
1.2.826.0.1.3680043.12275,512,512,0.312,0.312,683,0.3999999999999999,0.5,
1.2.826.0.1.3680043.12281,512,512,0.234375,0.234375,331,0.625,0.625,
1.2.826.0.1.3680043.12282,512,512,0.242188,0.242188,489,0.3125,0.625,
1.2.826.0.1.3680043.12292,512,512,0.380859375,0.380859375,341,0.5000000000000001,1.0,
1.2.826.0.1.3680043.12314,512,512,0.273438,0.273438,291,0.625,0.625,
1.2.826.0.1.3680043.12328,512,512,0.28125,0.28125,273,0.625,0.625,
1.2.826.0.1.3680043.12341,512,512,0.238281,0.238281,573,0.3125,0.625,
1.2.826.0.1.3680043.12351,512,512,0.2578125,0.2578125,501,0.4,0.6,
1.2.826.0.1.3680043.12359,512,512,0.359375,0.359375,327,0.625,0.625,
1.2.826.0.1.3680043.12361,512,512,0.253906,0.253906,301,0.625,0.625,
1.2.826.0.1.3680043.12370,512,512,0.253906,0.253906,337,0.625,0.625,
1.2.826.0.1.3680043.12384,512,512,0.253906,0.253906,263,0.625,0.625,
1.2.826.0.1.3680043.1239,512,512,0.28125,0.28125,495,0.4,0.6,
1.2.826.0.1.3680043.12395,512,512,0.339,0.339,638,0.3999999999999999,0.5,
1.2.826.0.1.3680043.12409,512,512,0.398,0.398,272,0.7999999999999998,1.0,
1.2.826.0.1.3680043.12434,512,512,0.253906,0.253906,370,0.625,0.625,
1.2.826.0.1.3680043.12453,512,512,0.304688,0.304688,307,0.625,0.625,
1.2.826.0.1.3680043.12487,512,512,0.27734375,0.27734375,216,1.0,1.0,
1.2.826.0.1.3680043.1252,512,512,0.273438,0.273438,299,0.625,0.625,
1.2.826.0.1.3680043.12532,512,512,0.316406011581,0.316406011581,308,0.625,0.625,
1.2.826.0.1.3680043.12533,512,512,0.292969,0.292969,278,0.625,0.625,
1.2.826.0.1.3680043.12549,512,512,0.291015625,0.291015625,403,0.5000000000000001,1.0,
1.2.826.0.1.3680043.12550,512,512,0.302734375,0.302734375,499,0.39999999999999997,0.6,
1.2.826.0.1.3680043.12587,512,512,0.253906,0.253906,246,0.625,0.625,
1.2.826.0.1.3680043.12625,512,512,0.263671875,0.263671875,214,1.0000000000000002,1.0,
1.2.826.0.1.3680043.12632,512,512,0.25,0.25,557,0.3125,0.625,
1.2.826.0.1.3680043.12636,512,512,0.312,0.312,626,0.4,0.5,
1.2.826.0.1.3680043.12639,512,512,0.296875,0.296875,561,0.3125,0.625,
1.2.826.0.1.3680043.12654,512,512,0.253906,0.253906,306,0.625,0.625,
1.2.826.0.1.3680043.12655,512,512,0.390625,0.390625,279,0.625,0.625,
1.2.826.0.1.3680043.12666,512,512,0.253906,0.253906,287,0.625,0.625,
1.2.826.0.1.3680043.12673,512,512,0.318359,0.318359,464,0.31249892008639313,0.625,
1.2.826.0.1.3680043.12675,512,512,0.30078125,0.30078125,204,1.0,1.0,
1.2.826.0.1.3680043.12695,512,512,0.349609375,0.349609375,466,0.4,0.6,
1.2.826.0.1.3680043.12702,512,512,0.332,0.332,246,0.8,1.0,
1.2.826.0.1.3680043.1271,512,512,0.298828125,0.298828125,208,1.0,1.0,
1.2.826.0.1.3680043.12718,512,512,0.21875,0.21875,272,0.625,0.625,
1.2.826.0.1.3680043.12727,512,512,0.30078125,0.30078125,486,0.49999999917525767,1.0,
1.2.826.0.1.3680043.12764,512,512,0.3515625,0.3515625,519,0.39999999999999997,0.6,
1.2.826.0.1.3680043.12767,512,512,0.318359,0.318359,253,0.625,0.625,
1.2.826.0.1.3680043.12785,512,512,0.490234,0.490234,353,0.625,0.625,
1.2.826.0.1.3680043.128,512,512,0.312,0.312,556,0.4,0.5,
1.2.826.0.1.3680043.12800,512,512,0.292969,0.292969,345,0.625,0.625,
1.2.826.0.1.3680043.12814,512,512,0.269531,0.269531,501,0.31249800000000005,0.625,
1.2.826.0.1.3680043.12833,512,512,0.3496094,0.3496094,261,1.0,1.0,
1.2.826.0.1.3680043.1286,512,512,0.332031,0.332031,297,0.625,0.625,
1.2.826.0.1.3680043.12863,512,512,0.289062,0.289062,316,0.625,0.625,
1.2.826.0.1.3680043.12873,512,512,0.253906,0.253906,539,0.3125,0.625,
1.2.826.0.1.3680043.12879,512,512,0.388671994209,0.388671994209,257,0.625,0.625,
1.2.826.0.1.3680043.1291,512,512,0.253906,0.253906,337,0.625,0.625,
1.2.826.0.1.3680043.12949,512,512,0.292969,0.292969,360,0.625,0.625,
1.2.826.0.1.3680043.12956,512,512,0.253906,0.253906,353,0.625,0.625,
1.2.826.0.1.3680043.1298,512,512,0.230469,0.230469,525,0.3125,0.625,
1.2.826.0.1.3680043.12998,512,512,0.625,0.625,344,0.625,0.625,
1.2.826.0.1.3680043.13037,512,512,0.349609375,0.349609375,444,0.4,0.6,
1.2.826.0.1.3680043.13056,512,512,0.4824219,0.4824219,291,0.9,1.0,
1.2.826.0.1.3680043.13063,512,512,0.28125,0.28125,314,0.625,0.625,
1.2.826.0.1.3680043.13064,512,512,0.300781,0.300781,681,0.3125,0.625,
1.2.826.0.1.3680043.13068,512,512,0.3515625,0.3515625,196,1.0,1.0,
1.2.826.0.1.3680043.13082,512,512,0.345703,0.345703,220,0.625,0.625,
1.2.826.0.1.3680043.1309,512,512,0.318359375,0.318359375,202,1.0,1.0,
1.2.826.0.1.3680043.13091,512,512,0.395,0.395,236,0.8,1.0,
1.2.826.0.1.3680043.13096,512,512,0.3125,0.3125,322,0.625,0.625,
1.2.826.0.1.3680043.13114,512,512,0.576171994209,0.576171994209,260,0.625,0.625,
1.2.826.0.1.3680043.13128,512,512,0.332031,0.332031,319,0.625,0.625,
1.2.826.0.1.3680043.13153,512,512,0.34375,0.34375,237,0.625,0.625,
1.2.826.0.1.3680043.13155,512,512,0.287109,0.287109,243,0.625,0.625,
1.2.826.0.1.3680043.13196,512,512,0.312,0.312,631,0.4,0.5,
1.2.826.0.1.3680043.13197,512,512,0.253906,0.253906,266,0.625,0.625,
1.2.826.0.1.3680043.13203,512,512,0.314453,0.314453,321,0.625,0.625,
1.2.826.0.1.3680043.1321,512,512,0.253906,0.253906,273,0.625,0.625,
1.2.826.0.1.3680043.13229,512,512,0.29,0.29,231,0.8,1.0,
1.2.826.0.1.3680043.13237,512,512,0.271484,0.271484,265,0.625,0.625,
1.2.826.0.1.3680043.13324,512,512,0.41015625,0.41015625,382,0.4499998713910761,0.9,
1.2.826.0.1.3680043.13337,512,512,0.44921875,0.44921875,554,0.39999999999999997,0.6,
1.2.826.0.1.3680043.1334,512,512,0.298828125,0.298828125,231,1.0,1.0,
1.2.826.0.1.3680043.13357,512,512,0.289062,0.289062,323,0.625,0.625,
1.2.826.0.1.3680043.13359,512,512,0.394531011581,0.394531011581,241,0.625,0.625,
1.2.826.0.1.3680043.13360,512,512,0.28125,0.28125,183,1.0,1.0,
1.2.826.0.1.3680043.13374,512,512,0.625,0.625,352,0.625,0.625,
1.2.826.0.1.3680043.13395,512,512,0.302734375,0.302734375,184,1.0,1.0,
1.2.826.0.1.3680043.13401,512,512,0.227,0.227,238,0.8,1.0,
1.2.826.0.1.3680043.13405,512,512,0.328125,0.328125,551,0.4,0.6,
1.2.826.0.1.3680043.13431,512,512,0.302734375,0.302734375,418,0.5000000004796162,1.0,
1.2.826.0.1.3680043.1344,512,512,0.253906,0.253906,337,0.625,0.625,
1.2.826.0.1.3680043.13440,512,512,0.287109375,0.287109375,172,1.0,1.0,
1.2.826.0.1.3680043.13444,512,512,0.5,0.5,333,0.7000000000000001,1.0,
1.2.826.0.1.3680043.13446,512,512,0.358,0.358,586,0.4,0.5,
1.2.826.0.1.3680043.13447,512,512,0.358,0.358,312,0.7999999999999998,1.0,
1.2.826.0.1.3680043.13451,512,512,0.253906,0.253906,277,0.625,0.625,
1.2.826.0.1.3680043.13457,512,512,0.59375,0.59375,336,0.625,0.625,
1.2.826.0.1.3680043.13471,512,512,0.31640625,0.31640625,231,1.0,1.0,
1.2.826.0.1.3680043.13477,512,512,0.268,0.268,226,0.8,1.0,
1.2.826.0.1.3680043.13479,512,512,0.476,0.476,319,0.7999999999999999,1.0,
1.2.826.0.1.3680043.13481,512,512,0.369141,0.369141,677,0.3125014792899408,0.625,
1.2.826.0.1.3680043.13505,512,512,0.351562,0.351562,321,0.625,0.625,
1.2.826.0.1.3680043.13509,512,512,0.261719,0.261719,297,0.625,0.625,
1.2.826.0.1.3680043.13519,512,512,0.33984375,0.33984375,467,0.5,1.0,
1.2.826.0.1.3680043.13561,512,512,0.253906,0.253906,272,0.625,0.625,
1.2.826.0.1.3680043.13571,512,512,0.412109375,0.412109375,361,0.4500000027777781,0.9,
1.2.826.0.1.3680043.13587,512,512,0.619140625,0.619140625,675,0.45000007270029674,0.9,
1.2.826.0.1.3680043.13591,512,512,0.253906,0.253906,254,0.625,0.625,
1.2.826.0.1.3680043.13596,512,512,0.359375,0.359375,225,1.0000000000000002,1.0,
1.2.826.0.1.3680043.1363,512,512,0.583984375,0.583984375,199,1.0,1.0,
1.2.826.0.1.3680043.13646,512,512,0.253906,0.253906,569,0.3125,0.625,
1.2.826.0.1.3680043.13703,512,512,0.289063,0.289063,322,0.625,0.625,
1.2.826.0.1.3680043.1371,512,512,0.292969,0.292969,701,0.31250142857142854,0.625,
1.2.826.0.1.3680043.13743,512,512,0.224609,0.224609,609,0.31250164473684205,0.625,
1.2.826.0.1.3680043.13746,512,512,0.291016,0.291016,321,0.625003125,0.625,
1.2.826.0.1.3680043.13756,512,512,0.253906,0.253906,322,0.625,0.625,
1.2.826.0.1.3680043.13783,512,512,0.253906,0.253906,369,0.625,0.625,
1.2.826.0.1.3680043.1381,512,512,0.312,0.312,398,0.40000000000000047,0.5,
1.2.826.0.1.3680043.13810,512,512,0.253906,0.253906,322,0.6250031152647975,0.625,
1.2.826.0.1.3680043.13814,512,512,0.318359,0.318359,325,0.625,0.625,
1.2.826.0.1.3680043.13820,512,512,0.371,0.371,247,0.8,1.0,
1.2.826.0.1.3680043.13902,512,512,0.341796875,0.341796875,357,0.5,1.0,
1.2.826.0.1.3680043.13913,512,512,0.320313,0.320313,368,0.625,0.625,
1.2.826.0.1.3680043.13917,512,512,0.302734,0.302734,279,0.625,0.625,
1.2.826.0.1.3680043.13943,512,512,0.388000011444,0.388000011444,250,0.7999999999999999,1.0,
1.2.826.0.1.3680043.13950,512,512,0.332031,0.332031,319,0.625,0.625,
1.2.826.0.1.3680043.13954,512,512,0.253906,0.253906,301,0.625,0.625,
1.2.826.0.1.3680043.13967,512,512,0.308594,0.308594,681,0.3125,0.625,
1.2.826.0.1.3680043.13969,512,512,0.253906,0.253906,335,0.625,0.625,
1.2.826.0.1.3680043.13975,512,512,0.326172,0.326172,296,0.625,0.625,
1.2.826.0.1.3680043.14,512,512,0.2578125,0.2578125,436,0.4,0.6,
1.2.826.0.1.3680043.14009,512,512,0.312,0.312,199,0.7999999999999999,1.0,
1.2.826.0.1.3680043.14012,512,512,0.201172,0.201172,268,0.625,0.625,
1.2.826.0.1.3680043.14029,512,512,0.507812023163,0.507812023163,353,0.625,0.625,
1.2.826.0.1.3680043.14038,512,512,0.337890625,0.337890625,473,0.4,0.6,
1.2.826.0.1.3680043.14059,512,512,0.2773438,0.2773438,283,0.7000000000000001,1.0,
1.2.826.0.1.3680043.1406,512,512,0.361328125,0.361328125,399,0.5000000025125628,1.0,
1.2.826.0.1.3680043.14070,512,512,0.275,0.275,223,0.8000000000000002,1.0,
1.2.826.0.1.3680043.14071,512,512,0.25,0.25,222,1.0,1.0,
1.2.826.0.1.3680043.14078,512,512,0.259765625,0.259765625,227,1.0,1.0,
1.2.826.0.1.3680043.14087,512,512,0.312,0.312,488,0.3999999999999999,0.5,
1.2.826.0.1.3680043.14089,512,512,0.377,0.377,616,0.4,0.5,
1.2.826.0.1.3680043.14093,512,512,0.273438,0.273438,255,0.625,0.625,
1.2.826.0.1.3680043.14157,512,512,0.312,0.312,513,0.3999999999999999,0.5,
1.2.826.0.1.3680043.14174,512,512,0.253906,0.253906,275,0.625,0.625,
1.2.826.0.1.3680043.14186,512,512,0.351563,0.351563,304,0.625003300330033,0.625,
1.2.826.0.1.3680043.142,512,512,0.273438,0.273438,258,0.625,0.625,
1.2.826.0.1.3680043.14232,512,512,0.351563,0.351563,613,0.3125,0.625,
1.2.826.0.1.3680043.14234,512,512,0.415,0.415,273,0.8,1.0,
1.2.826.0.1.3680043.14262,512,512,0.263672,0.263672,317,0.625,0.625,
1.2.826.0.1.3680043.14263,512,512,0.296875,0.296875,280,0.625,0.625,
1.2.826.0.1.3680043.14267,512,512,0.35546875,0.35546875,473,0.4,0.6,
1.2.826.0.1.3680043.1427,512,512,0.30078125,0.30078125,198,1.0,1.0,
1.2.826.0.1.3680043.14278,512,512,0.279296875,0.279296875,459,0.39999999999999997,0.6,
1.2.826.0.1.3680043.1429,512,512,0.4,0.4,269,0.7999999999999999,1.0,
1.2.826.0.1.3680043.143,512,512,0.294921875,0.294921875,202,1.0,1.0,
1.2.826.0.1.3680043.14341,512,512,0.40039101243,0.40039101243,381,0.625,0.625,
1.2.826.0.1.3680043.14345,512,512,0.357422,0.357422,378,0.44999999999999996,0.625,
1.2.826.0.1.3680043.14348,512,512,0.3359375,0.3359375,466,0.4,0.6,
1.2.826.0.1.3680043.14360,512,512,0.316406,0.316406,337,0.625,0.625,
1.2.826.0.1.3680043.14369,512,512,0.310547,0.310547,657,0.3125,0.625,
1.2.826.0.1.3680043.14380,512,512,0.331,0.331,601,0.4,0.5,
1.2.826.0.1.3680043.14405,512,512,0.36914101243,0.36914101243,334,0.625,0.625,
1.2.826.0.1.3680043.14419,512,512,0.257813,0.257813,307,0.625,0.625,
1.2.826.0.1.3680043.14421,512,512,0.351563,0.351563,414,0.45000000000000007,0.625,
1.2.826.0.1.3680043.1443,512,512,0.30859375,0.30859375,255,1.0,1.0,
1.2.826.0.1.3680043.14435,512,512,0.3515625,0.3515625,618,0.3999999999999999,0.6,
1.2.826.0.1.3680043.14454,512,512,0.466,0.466,252,0.8,1.0,
1.2.826.0.1.3680043.14459,512,512,0.294921875,0.294921875,464,0.4000000000000001,0.6,
1.2.826.0.1.3680043.14464,512,512,0.366,0.366,428,0.3999999999999999,0.5,
1.2.826.0.1.3680043.14465,512,512,0.268,0.268,236,0.8,1.0,
1.2.826.0.1.3680043.14467,512,512,0.306640625,0.306640625,441,0.4,0.6,
1.2.826.0.1.3680043.14589,512,512,0.312,0.312,601,0.4,0.5,
1.2.826.0.1.3680043.14598,512,512,0.371,0.371,293,0.8,1.0,
1.2.826.0.1.3680043.14615,512,512,0.253906,0.253906,277,0.625,0.625,
1.2.826.0.1.3680043.14652,512,512,0.253906,0.253906,275,0.625,0.625,
1.2.826.0.1.3680043.14654,512,512,0.27,0.27,383,0.39999999999999986,0.5,
1.2.826.0.1.3680043.14669,512,512,0.468,0.468,267,0.7999999999999998,1.0,
1.2.826.0.1.3680043.14697,512,512,0.298828125,0.298828125,193,1.0,1.0,
1.2.826.0.1.3680043.1470,512,512,0.44140625,0.44140625,477,0.39999999999999997,0.6,
1.2.826.0.1.3680043.14704,512,512,0.253906,0.253906,229,0.625,0.625,
1.2.826.0.1.3680043.14723,512,512,0.232421875,0.232421875,176,1.0,1.0,
1.2.826.0.1.3680043.14728,512,512,0.296875,0.296875,222,1.0,1.0,
1.2.826.0.1.3680043.14740,512,512,0.34375,0.34375,183,0.625,0.625,
1.2.826.0.1.3680043.1476,512,512,0.332031,0.332031,391,0.625,0.625,
1.2.826.0.1.3680043.14780,512,512,0.253906,0.253906,283,0.625,0.625,
1.2.826.0.1.3680043.1479,512,512,0.351563,0.351563,374,0.45000000000000007,0.625,
1.2.826.0.1.3680043.14790,512,512,0.31640625,0.31640625,220,1.0,1.0,
1.2.826.0.1.3680043.1480,512,512,0.40234375,0.40234375,451,0.4,0.6,
1.2.826.0.1.3680043.14823,512,512,0.373,0.373,488,0.3999999999999999,0.5,
1.2.826.0.1.3680043.14833,512,512,0.253906,0.253906,256,0.625,0.625,
1.2.826.0.1.3680043.14847,512,512,0.3925781,0.3925781,411,0.7,1.0,
1.2.826.0.1.3680043.14852,512,512,0.298828,0.298828,279,0.625,0.625,
1.2.826.0.1.3680043.14868,512,512,0.341796994209,0.341796994209,368,0.625,0.625,
1.2.826.0.1.3680043.14902,512,512,0.310546875,0.310546875,325,0.5,1.0,
1.2.826.0.1.3680043.14916,512,512,0.277344,0.277344,384,0.6250000000000001,0.625,
