study_id,total_pixels_analyzed,slices_counted,class_0_pixels,class_1_pixels,class_2_pixels,class_3_pixels,class_4_pixels,class_5_pixels,class_6_pixels,class_7_pixels,class_8_pixels
1.2.826.0.1.3680043.26990,63438848,242,61480718,135106,180344,120818,143234,177255,208339,266050,726984
1.2.826.0.1.3680043.27016,74711040,285,72201243,245100,318210,226051,226162,230932,258648,345020,659674
1.2.826.0.1.3680043.27292,73400320,280,70573680,303452,361756,210338,223770,229800,249908,327066,920550
1.2.826.0.1.3680043.27752,141819904,541,137614635,402474,473979,293927,281793,306345,344834,416023,1685894
1.2.826.0.1.3680043.28025,126091264,481,123722735,231023,283585,167769,177051,177666,188433,229541,913461
1.2.826.0.1.3680043.28327,75235328,287,70746811,311346,417430,317500,325408,410409,380814,546760,1778850
1.2.826.0.1.3680043.28665,57147392,218,56035935,126506,148281,100669,87389,93848,105637,123396,325731
1.2.826.0.1.3680043.29425,77594624,296,76788134,94854,111354,74146,76198,77288,91628,109588,171434
1.2.826.0.1.3680043.30067,60030976,229,58843755,102417,135192,86072,94624,101481,104036,129831,433568
1.2.826.0.1.3680043.30487,91226112,348,89919996,109238,146676,97604,95774,94054,105620,128464,528686
1.2.826.0.1.3680043.30524,62914560,240,61712833,93726,129867,93995,95680,92287,99178,131818,465176
1.2.826.0.1.3680043.30565,59506688,227,56828051,241151,276025,187190,191778,196883,238872,289420,1057318
1.2.826.0.1.3680043.30640,62390272,238,59451852,263254,362738,258794,255863,274641,314594,357132,851404
1.2.826.0.1.3680043.31077,176160768,672,172319469,371487,442201,317670,313329,310216,328226,400368,1357802
1.2.826.0.1.3680043.3168,39845888,152,38912807,112356,146090,97528,93731,100366,109720,152686,120604
1.2.826.0.1.3680043.32280,73138176,279,70646856,336398,379016,252475,244407,240926,258186,309118,470794
1.2.826.0.1.3680043.32370,68681728,262,66634361,186844,246178,149506,161999,171718,190476,228195,712451
1.2.826.0.1.3680043.32434,91226112,348,90206910,78190,99087,69274,68351,71866,78075,102412,451947
1.2.826.0.1.3680043.32436,71041024,271,68784409,176014,242320,162088,162249,152925,181748,245003,934268
1.2.826.0.1.3680043.32590,70516736,269,67986613,218100,279960,194697,223654,234962,248118,322020,808612
1.2.826.0.1.3680043.32658,87556096,334,83280554,350255,443956,272025,292749,343262,382088,507583,1683624
1.2.826.0.1.3680043.3376,171180032,653,167469097,254743,359548,254179,274254,323107,327643,386500,1530961
1.2.826.0.1.3680043.3882,63176704,241,62445349,71680,84988,53301,52968,57556,57795,84928,268139
1.2.826.0.1.3680043.3992,66060288,252,64813378,144100,188496,124106,118660,126908,139260,188980,216400
1.2.826.0.1.3680043.4202,71565312,273,68369580,237056,337482,204792,206114,224755,254225,365588,1365720
1.2.826.0.1.3680043.4769,68943872,263,66959311,175373,233610,162265,165777,181527,189765,229610,646634
1.2.826.0.1.3680043.5002,104595456,399,102819824,191694,224562,155760,143726,170026,162468,236856,490540
1.2.826.0.1.3680043.5671,113508352,433,109197656,438889,539547,333597,326079,325639,372034,412099,1562812
1.2.826.0.1.3680043.5782,149159936,569,145472292,341596,449404,317527,291950,322338,383192,440174,1141463
1.2.826.0.1.3680043.5783,157548544,601,154301738,251836,367231,268273,265413,307558,327328,366843,1092324
1.2.826.0.1.3680043.6078,66060288,252,62488558,375128,432464,252208,243420,265428,323738,457388,1221956
1.2.826.0.1.3680043.6125,46399488,177,45453678,114456,139041,95477,86496,115579,97686,136621,160454
1.2.826.0.1.3680043.6376,73662464,281,71737788,171144,215768,137612,145009,157607,173116,224664,699756
1.2.826.0.1.3680043.780,51118080,195,49905610,154713,177740,112717,115081,123901,135601,176383,216334
1.2.826.0.1.3680043.8024,71565312,273,70578190,118152,127170,82334,83114,91010,101276,115990,268076
1.2.826.0.1.3680043.8330,93585408,357,89387351,413628,507410,291963,329418,345024,413924,556142,1340548
1.2.826.0.1.3680043.8574,63176704,241,62213118,88729,99844,65387,68584,72319,79977,104682,384064
1.2.826.0.1.3680043.8744,42991616,164,41131618,200006,244131,164955,167291,168692,199312,209308,506303
1.2.826.0.1.3680043.8884,79429632,303,77471136,167900,233450,153595,141574,153615,193186,268071,647105
1.2.826.0.1.3680043.9926,44564480,170,43338951,129489,170993,116286,104481,128618,127907,173732,274023
